Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
01/20/2026,4:00 PM,SIFF Cinema Uptown,The Testament of Ann Lee,137,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_TestamentofAnnLee_1600x900.jpg,,,
01/20/2026,7:30 PM,SIFF Cinema Uptown,The Testament of Ann Lee,137,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_TestamentofAnnLee_1600x900.jpg,,,
01/21/2026,4:00 PM,SIFF Cinema Uptown,The Testament of Ann Lee,137,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_TestamentofAnnLee_1600x900.jpg,,,
01/21/2026,7:30 PM,SIFF Cinema Uptown,The Testament of Ann Lee,137,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_TestamentofAnnLee_1600x900.jpg,,,
01/22/2026,4:00 PM,SIFF Cinema Uptown,The Testament of Ann Lee,137,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_TestamentofAnnLee_1600x900.jpg,,,
01/22/2026,7:30 PM,SIFF Cinema Uptown,The Testament of Ann Lee,137,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_TestamentofAnnLee_1600x900.jpg,,,
02/24/2026,6:30 PM,SIFF Film Center,The Pacific Northwestern: McCabe & Mrs. Miller (35mm),120,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Pacific%20Northwestern/McCabeandMrsMiller.jpg,,,
02/03/2026,6:30 PM,SIFF Film Center,The Pacific Northwestern: Bend of the River (New 4K Restoration),91,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Pacific%20Northwestern/BendoftheRiver.jpg,,,
03/25/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: GoodFellas (4K Restoration),146,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_Goodfellas_1600x900.jpg,,,
01/10/2026,12:00 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/10/2026,3:40 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/10/2026,7:15 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/11/2026,12:00 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/11/2026,3:40 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/11/2026,7:15 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/12/2026,3:40 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/12/2026,7:15 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/13/2026,3:40 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/13/2026,7:15 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/14/2026,3:40 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/14/2026,7:15 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/15/2026,3:30 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
01/15/2026,7:00 PM,SIFF Cinema Uptown,Marty Supreme,149,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_MartySupreme_1600x900.jpg,,,
02/25/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: Mean Streets,112,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/MeanStreets.jpg,,,
03/11/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: Raging Bull,129,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_RagingBull-2025_1600x900.jpg,,,
07/06/2026,6:30 PM,SIFF Cinema Uptown,SIFF Movie Club: Fried Green Tomatoes,130,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FriedGreenTomatoes_1600x900.jpg,,,
03/14/2026,2:00 PM,SIFF Film Center,National Theatre Live: The Fifth Step,100,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_NTLFifthStep_1600x900.jpg,,,
03/15/2026,2:00 PM,SIFF Film Center,National Theatre Live: The Fifth Step,100,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_NTLFifthStep_1600x900.jpg,,,
03/16/2026,6:30 PM,SIFF Film Center,National Theatre Live: The Fifth Step,100,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_NTLFifthStep_1600x900.jpg,,,
01/20/2026,6:30 PM,SIFF Film Center,The Pacific Northwestern: Canyon Passage (4K Restoration),92,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Pacific%20Northwestern/CanyonPassage.jpg,,,
03/18/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: The King of Comedy,109,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/KingofComedy.jpg,,,
03/04/2026,7:30 PM,SIFF Cinema Uptown,Scorsese - Taxi Driver: 50th Anniversary,114,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_TaxiDriver_1600x900.jpg,,,
01/13/2026,6:30 PM,SIFF Film Center,The Pacific Northwestern: Dead Man,121,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Pacific%20Northwestern/Deadman.jpg,,,
04/08/2026,7:30 PM,SIFF Cinema Uptown,Scorsese - Casino: 30th Anniversary,179,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_Casino_1600x900.jpg,,,
01/27/2026,6:30 PM,SIFF Film Center,The Pacific Northwestern: Pale Rider (35mm),115,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Pacific%20Northwestern/PaleRider.jpg,,,
04/22/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: Silence,161,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_Silence_1600x900.jpg,,,
02/10/2026,6:30 PM,SIFF Film Center,The Pacific Northwestern: The Hanging Tree,107,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Pacific%20Northwestern/HangingTree.jpg,,,
01/15/2026,3:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/15/2026,6:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
