Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
09/16/2025,4:45 PM,SIFF Cinema Uptown,Honey Don’t!,90,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_HoneyDont_1600x900.jpg,,,
09/16/2025,7:15 PM,SIFF Cinema Uptown,Honey Don’t!,90,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_HoneyDont_1600x900.jpg,,,
09/17/2025,4:10 PM,SIFF Cinema Uptown,Honey Don’t!,90,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_HoneyDont_1600x900.jpg,,,
09/18/2025,7:30 PM,SIFF Cinema Uptown,Honey Don’t!,90,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_HoneyDont_1600x900.jpg,,,
09/20/2025,5:10 PM,SIFF Cinema Downtown,PTA: Punch-Drunk Love,95,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-PunchDrunkLove_1600x900.jpg,,,
09/24/2025,4:00 PM,SIFF Cinema Downtown,PTA: Punch-Drunk Love,95,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-PunchDrunkLove_1600x900.jpg,,,
10/15/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: Heat (30th Anniversary),170,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-Heat_1600x900.jpg,,,
10/10/2025,7:15 PM,SIFF Film Center,Bring Them Home,85,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BringThemHome_1600x900.jpg,,,
10/11/2025,4:45 PM,SIFF Film Center,Bring Them Home,85,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BringThemHome_1600x900.jpg,,,
10/11/2025,7:15 PM,SIFF Film Center,Bring Them Home,85,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BringThemHome_1600x900.jpg,,,
10/12/2025,3:00 PM,SIFF Film Center,Bring Them Home,85,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BringThemHome_1600x900.jpg,,,
10/12/2025,5:30 PM,SIFF Film Center,Bring Them Home,85,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BringThemHome_1600x900.jpg,,,
10/13/2025,3:00 PM,SIFF Film Center,Bring Them Home,85,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BringThemHome_1600x900.jpg,,,
10/13/2025,5:30 PM,SIFF Film Center,Bring Them Home,85,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BringThemHome_1600x900.jpg,,,
10/19/2025,12:00 PM,SIFF Cinema Downtown,DocFest: Speak.,103,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/Speak.jpg,,,
09/16/2025,7:30 PM,SIFF Cinema Downtown,STAR WARS: THE EMPIRE STRIKES BACK,124,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/Star%20Wars%20Ultimate%20Cinematic%20Marathon/EmpireStrikesBack.jpg,,,
10/19/2025,7:00 PM,SIFF Cinema Uptown,DocFest: Cutting Through Rocks,95,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/CuttingThroughRocks.jpg,,,
09/20/2025,5:30 PM,SIFF Film Center,Kino Armenia: I will revenge this world with Love - S. Paradjanov,110,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_IWillRevengeThisWorld_1600x900.jpg,,,
10/23/2025,7:30 PM,SIFF Cinema Uptown,DocFest: Cover-Up,117,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/CoverUp.jpg,,,
09/23/2025,7:00 PM,SIFF Film Center,The Popcorn List: New Wave,94,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_NewWave_1600x900.jpg,,,
09/16/2025,4:00 PM,SIFF Cinema Uptown,Downton Abbey: The Grand Finale,123,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_DowntonAbbeyGrandFinale_1600x900.jpg,,,
09/16/2025,7:00 PM,SIFF Cinema Uptown,Downton Abbey: The Grand Finale,123,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_DowntonAbbeyGrandFinale_1600x900.jpg,,,
09/17/2025,4:00 PM,SIFF Cinema Uptown,Downton Abbey: The Grand Finale,123,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_DowntonAbbeyGrandFinale_1600x900.jpg,,,
09/17/2025,7:00 PM,SIFF Cinema Uptown,Downton Abbey: The Grand Finale,123,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_DowntonAbbeyGrandFinale_1600x900.jpg,,,
09/18/2025,4:00 PM,SIFF Cinema Uptown,Downton Abbey: The Grand Finale,123,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_DowntonAbbeyGrandFinale_1600x900.jpg,,,
09/18/2025,7:00 PM,SIFF Cinema Uptown,Downton Abbey: The Grand Finale,123,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_DowntonAbbeyGrandFinale_1600x900.jpg,,,
09/19/2025,7:45 PM,SIFF Cinema Downtown,PTA: There Will Be Blood,158,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-ThereWillBeBlood_1600x900.jpg,,,
09/22/2025,4:00 PM,SIFF Cinema Downtown,PTA: There Will Be Blood,158,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-ThereWillBeBlood_1600x900.jpg,,,
10/03/2025,7:00 PM,SIFF Film Center,National Theatre Live: Inter Alia,120,None,https://www.siff.net/images/CINEMA/2025/Film%20Jan-May/CIN_NTLInterAlia_1600x900.jpg,,,
10/04/2025,1:00 PM,SIFF Film Center,National Theatre Live: Inter Alia,120,None,https://www.siff.net/images/CINEMA/2025/Film%20Jan-May/CIN_NTLInterAlia_1600x900.jpg,,,
10/05/2025,1:00 PM,SIFF Film Center,National Theatre Live: Inter Alia,120,None,https://www.siff.net/images/CINEMA/2025/Film%20Jan-May/CIN_NTLInterAlia_1600x900.jpg,,,
10/06/2025,7:00 PM,SIFF Film Center,National Theatre Live: Inter Alia,120,None,https://www.siff.net/images/CINEMA/2025/Film%20Jan-May/CIN_NTLInterAlia_1600x900.jpg,,,
09/18/2025,4:00 PM,SIFF Cinema Downtown,STAR WARS: REVENGE OF THE SITH,141,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/Star%20Wars%20Ultimate%20Cinematic%20Marathon/RevengeoftheSith.jpg,,,
10/16/2025,7:00 PM,SIFF Cinema Uptown,DocFest: Space Cowboy,98,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/SpaceCowboy.jpg,,,
10/09/2025,4:15 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/09/2025,7:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/10/2025,3:20 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/10/2025,6:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/10/2025,9:40 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/11/2025,12:00 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/11/2025,3:20 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/11/2025,6:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/11/2025,9:40 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/12/2025,12:00 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/12/2025,3:20 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/12/2025,6:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/13/2025,4:15 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/13/2025,7:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/14/2025,4:15 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/14/2025,7:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/15/2025,4:15 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/15/2025,7:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/16/2025,4:15 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/16/2025,7:30 PM,SIFF Cinema Downtown,Tron: Ares,119,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TronAres_1600x900.jpg,,,
10/29/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: The Limey,89,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-TheLimey_1600x900.jpg,,,
11/05/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: Drive,100,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-Drive_1600x900.jpg,,,
10/18/2025,4:00 PM,SIFF Cinema Uptown,DocFest: 25 Cats From Qatar,95,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/25CatsFromQatar.jpg,,,
09/17/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: Point Blank,92,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-PointBlank_1600x900.jpg,,,
10/06/2025,7:00 PM,SIFF Cinema Uptown,Quality Ski Time Film Tour presented by Salomon,150,None,https://www.siff.net/images/CINEMA/2025/Rentals/REN_QualitySkiTime2025_1600x900.jpg,,,
10/17/2025,4:45 PM,SIFF Cinema Uptown,DocFest: Runa Simi,86,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/RunaSimi.jpg,,,
10/03/2025,7:00 PM,SIFF Cinema Uptown,Little Forest,103,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_LittleForest_1600x900.jpg,,,
10/01/2025,6:00 PM,SIFF Cinema Uptown,SIFF Movie Club: Green Room,94,None,https://www.siff.net/images/CINEMA/2025/Movie%20Club/CIN_SMC-GreenRoom_1600x900.jpg,,,
09/18/2025,4:30 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/18/2025,7:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/19/2025,4:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/19/2025,7:00 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/20/2025,1:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/20/2025,4:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/20/2025,7:00 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/21/2025,1:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/21/2025,4:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/21/2025,7:00 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/22/2025,4:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/22/2025,7:00 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/23/2025,4:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/23/2025,7:00 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/24/2025,4:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/24/2025,7:00 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/25/2025,4:15 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
09/25/2025,7:00 PM,SIFF Cinema Uptown,A Big Bold Beautiful Journey,109,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_BigBoldBeautifulJourney_1600x900.jpg,,,
11/12/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: Inherent Vice,148,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-InherentVice_1600x900.jpg,,,
09/24/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: The Long Goodbye,112,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-LongGoodbye_1600x900.jpg,,,
11/05/2025,6:00 PM,SIFF Cinema Uptown,SIFF Movie Club: The Ascent,109,None,https://www.siff.net/images/CINEMA/2025/Movie%20Club/CIN_SMC-Ascent_1600x900.jpg,,,
10/18/2025,1:30 PM,SIFF Cinema Uptown,DocFest: Widow Champion,95,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/WidowChampion.jpg,,,
10/20/2025,7:00 PM,SIFF Cinema Uptown,"DocFest - Mugaritz: No Bread, No Dessert",95,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/MugaritzNoBreadNoDessert.jpg,,,
09/21/2025,11:30 AM,SIFF Cinema Downtown,PTA: Licorice Pizza,133,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-LicoricePizza_1600x900.jpg,,,
09/22/2025,7:45 PM,SIFF Cinema Downtown,PTA: Licorice Pizza,133,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-LicoricePizza_1600x900.jpg,,,
10/01/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: Cutter’s Way (35mm),105,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-CuttersWay_1600x900.jpg,,,
09/18/2025,7:30 PM,SIFF Cinema Downtown,SOLO: A STAR WARS STORY,135,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/Star%20Wars%20Ultimate%20Cinematic%20Marathon/SoloAStarWarsStory.jpg,,,
09/16/2025,7:30 PM,SIFF Cinema Uptown,CLASSIFIED CINEMA,91,None,https://www.siff.net/images/CINEMA/2024/Rentals/REN_ClassifiedCinemaApril_1600x900.jpg,,,
11/18/2025,7:30 PM,SIFF Cinema Uptown,CLASSIFIED CINEMA,91,None,https://www.siff.net/images/CINEMA/2024/Rentals/REN_ClassifiedCinemaApril_1600x900.jpg,,,
12/16/2025,7:30 PM,SIFF Cinema Uptown,CLASSIFIED CINEMA,91,None,https://www.siff.net/images/CINEMA/2024/Rentals/REN_ClassifiedCinemaApril_1600x900.jpg,,,
09/16/2025,4:15 PM,SIFF Cinema Uptown,The Roses,105,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TheRoses_1600x900.jpg,,,
09/17/2025,3:45 PM,SIFF Cinema Uptown,The Roses,105,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TheRoses_1600x900.jpg,,,
09/18/2025,4:15 PM,SIFF Cinema Uptown,The Roses,105,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_TheRoses_1600x900.jpg,,,
09/21/2025,2:45 PM,SIFF Cinema Downtown,PTA: Magnolia,188,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-Magnolia_1600x900.jpg,,,
09/24/2025,6:45 PM,SIFF Cinema Downtown,PTA: Magnolia,188,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-Magnolia_1600x900.jpg,,,
